Name,Ticker,Weight,Sector,Shares Held
FIFTH THIRD BANCORP,FITB,0.053596,Others,8473099
IRON MOUNTAIN INC,IRM,0.053255,Others,3708011
FORTIVE CORP,FTV,0.05314,Others,4384183
STATE STREET CORP,STT,0.052805,Others,3704096
DOVER CORP,DOV,0.051823,Others,1733941
GODADDY INC   CLASS A,GDDY,0.051637,Others,1774437
VERALTO CORP,VLTO,0.050483,Others,3124681
TYLER TECHNOLOGIES INC,TYL,0.050462,Others,540289
TEXAS PACIFIC LAND CORP,TPL,0.050396,Others,237965
GLOBAL PAYMENTS INC,GPN,0.0499,Others,3216256
EQUITY RESIDENTIAL,EQR,0.049607,Others,4304875
SBA COMMUNICATIONS CORP,SBAC,0.049071,Others,1355134
UNITED AIRLINES HOLDINGS INC,UAL,0.049022,Others,4155472
CORPAY INC,CPAY,0.048757,Others,879666
ATMOS ENERGY CORP,ATO,0.048669,Others,1961367
ARCHER DANIELS MIDLAND CO,ADM,0.04818,Others,6041947
CENTERPOINT ENERGY INC,CNP,0.048102,Others,8235223
CBOE GLOBAL MARKETS INC,CBOE,0.047924,Others,1319965
TELEDYNE TECHNOLOGIES INC,TDY,0.047771,Others,588478
CINCINNATI FINANCIAL CORP,CINF,0.047218,Others,1970409
KELLANOVA,K,0.047198,Others,3398051
WARNER BROS DISCOVERY INC,WBD,0.047084,Others,28209115
DEVON ENERGY CORP,DVN,0.047,Others,8300693
EVERSOURCE ENERGY,ES,0.046972,Others,4630227
STERIS PLC,STE,0.046889,Others,1248967
NVR INC,NVR,0.046615,Others,38735
CDW CORP/DE,CDW,0.046458,Others,1683648
WATERS CORP,WAT,0.046155,Others,750411
EDISON INTERNATIONAL,EIX,0.046096,Others,4892265
SMURFIT WESTROCK PLC,SW,0.045808,Others,6249722
CMS ENERGY CORP,CMS,0.045805,Others,3775859
ZIMMER BIOMET HOLDINGS INC,ZBH,0.045669,Others,2515571
HALLIBURTON CO,HAL,0.045601,Others,11100921
DARDEN RESTAURANTS INC,DRI,0.045386,Others,1484720
WEYERHAEUSER CO,WY,0.044858,Others,9181203
HUNTINGTON BANCSHARES INC,HBAN,0.044245,Others,18358754
PULTEGROUP INC,PHM,0.04422,Others,2591886
BIOGEN INC,BIIB,0.043507,Others,1841627
MCCORMICK + CO NON VTG SHRS,MKC,0.043286,Others,3177009
INTL FLAVORS + FRAGRANCES,IFF,0.043165,Others,3230576
SYNCHRONY FINANCIAL,SYF,0.043095,Others,4920013
T ROWE PRICE GROUP INC,TROW,0.043011,Others,2807670
FIRSTENERGY CORP,FE,0.042701,Others,6464336
CARNIVAL CORP,CCL,0.042356,Others,13126284
LABCORP HOLDINGS INC,LH,0.042029,Others,1056784
COTERRA ENERGY INC,CTRA,0.041975,Others,9308070
SUPER MICRO COMPUTER INC,SMCI,0.04197,Others,6363488
VERISIGN INC,VRSN,0.041181,Others,1044730
EXPEDIA GROUP INC,EXPE,0.041148,Others,1551870
HEWLETT PACKARD ENTERPRISE,HPE,0.040906,Others,16410331
REGIONS FINANCIAL CORP,RF,0.040394,Others,11485004
NORTHERN TRUST CORP,NTRS,0.040309,Others,2505160
LYONDELLBASELL INDU CL A,LYB,0.040233,Others,3283207
MID AMERICA APARTMENT COMM,MAA,0.0402,Others,1472725
QUEST DIAGNOSTICS INC,DGX,0.04019,Others,1410606
INVITATION HOMES INC,INVH,0.039962,Others,7199327
WR BERKLEY CORP,WRB,0.03976,Others,3807812
SOUTHWEST AIRLINES CO,LUV,0.039705,Others,7589168
ESSEX PROPERTY TRUST INC,ESS,0.039627,Others,813533
NETAPP INC,NTAP,0.039325,Others,2587330
PTC INC,PTC,0.039282,Others,1518305
NRG ENERGY INC,NRG,0.039276,Others,2559602
CLOROX COMPANY,CLX,0.038796,Others,1564315
LIVE NATION ENTERTAINMENT IN,LYV,0.038759,Others,1983407
SEAGATE TECHNOLOGY HOLDINGS,STX,0.038511,Others,2665126
NISOURCE INC,NI,0.038493,Others,5898199
ON SEMICONDUCTOR,ON,0.038273,Others,5380230
LENNOX INTERNATIONAL INC,LII,0.038201,Others,405281
HUBBELL INC,HUBB,0.038002,Others,678632
MOLINA HEALTHCARE INC,MOH,0.037963,Others,723121
DECKERS OUTDOOR CORP,DECK,0.037915,Others,1919511
BAXTER INTERNATIONAL INC,BAX,0.03769,Others,6463855
LEIDOS HOLDINGS INC,LDOS,0.037684,Others,1685696
DOLLAR GENERAL CORP,DG,0.03737,Others,2769578
CITIZENS FINANCIAL GROUP,CFG,0.03734,Others,5568840
STEEL DYNAMICS INC,STLD,0.03721,Others,1788897
INSULET CORP,PODD,0.036485,Others,883575
TYSON FOODS INC CL A,TSN,0.036452,Others,3599805
SNAP ON INC,SNA,0.036295,Others,663572
PACKAGING CORP OF AMERICA,PKG,0.036269,Others,1126443
PRINCIPAL FINANCIAL GROUP,PFG,0.036147,Others,2659341
GENUINE PARTS CO,GPC,0.035416,Others,1757121
EXPEDITORS INTL WASH INC,EXPD,0.034769,Others,1768513
TAPESTRY INC,TPR,0.034645,Others,2944774
FACTSET RESEARCH SYSTEMS INC,FDS,0.034613,Others,479742
WEST PHARMACEUTICAL SERVICES,WST,0.034569,Others,915539
TRIMBLE INC,TRMB,0.034478,Others,3077169
ALLIANT ENERGY CORP,LNT,0.03412,Others,3248786
OMNICOM GROUP,OMC,0.033072,Others,2465536
COOPER COS INC/THE,COO,0.032921,Others,2509530
LOEWS CORP,L,0.032666,Others,2283826
EVERGY INC,EVRG,0.032546,Others,2895123
BALL CORP,BALL,0.032439,Others,3771060
ESTEE LAUDER COMPANIES CL A,EL,0.032304,Others,2951118
ALEXANDRIA REAL ESTATE EQUIT,ARE,0.032052,Others,1965013
EVEREST GROUP LTD,EG,0.03203,Others,542893
KEYCORP,KEY,0.032027,Others,12526026
F5 INC,FFIV,0.031884,Others,733911
MASCO CORP,MAS,0.031845,Others,2726387
