date,nominal_value,real_value,cpi_value,inflation_rate
2020-09-01,13631.611959930884,8877.983861574528,259.95,53.54400472533962
2020-10-01,13648.6514748808,8878.834561757232,260.25,53.721204961606595
2020-11-01,13665.712289224399,8867.784938925608,260.9,54.10513880685173
2020-12-01,13682.794429585929,8841.59197301106,262.0,54.75487300649733
2021-01-01,13699.897922622913,8835.108632866293,262.52,55.06202008269343
2021-02-01,13717.02279502619,8810.57727899664,263.58,55.6881275841701
2021-03-01,13734.169073519974,8777.301061292255,264.91,56.47371529828706
2021-04-01,13751.336784861871,8727.652549867347,266.75,57.560543414057875
2021-05-01,13768.52595584295,8683.223856674285,268.45,58.56467808623742
2021-06-01,13785.736613287754,8623.088777911833,270.66,59.87005316007088
2021-07-01,13802.968784054361,8591.649013347562,271.99,60.655640874187824
2021-08-01,13820.222495034428,8577.160703872314,272.79,61.12817483756645
2021-09-01,13837.497773153222,8553.391408940965,273.89,61.777909037212034
2021-10-01,13854.794645369664,8485.391359335397,276.43,63.278204370939164
2021-11-01,13872.113138676374,8423.776020006851,278.8,64.67808623744831
2021-12-01,13889.45328009972,8373.934120298005,280.81,65.86532782043707
2022-01-01,13906.815096699846,8337.48998148406,282.39,66.79858239810986
2022-02-01,13924.19861557072,8284.834559696785,284.54,68.06851742468989
2022-03-01,13941.603863840182,8208.358665095266,287.55,69.84642646190193
2022-04-01,13959.030868669981,8184.18037839669,288.76,70.5611340815121
2022-05-01,13976.479657255819,8121.286401611101,291.36,72.0968694624926
2022-06-01,13993.950256827387,8031.104333833481,295.0,74.24689899586532
2022-07-01,14011.442694648422,8041.688413465246,294.98,74.23508564678085
2022-08-01,14028.956998016733,8045.467361418086,295.21,74.3709391612522
2022-09-01,14046.493194264254,8024.806971009443,296.34,75.0383933845245
2022-10-01,14064.051310757082,7993.835650678755,297.86,75.93620791494389
2022-11-01,14081.631374895529,7982.655924225058,298.65,76.40283520378024
2022-12-01,14099.233414114147,7988.354529666093,298.81,76.49734199645599
2023-01-01,14116.85745588179,7957.064746573403,300.36,77.41287655050206
2023-02-01,14134.503527701643,7936.623817584453,301.51,78.09214412285881
2023-03-01,14152.171657111268,7940.487378368589,301.74,78.22799763733018
2023-04-01,14169.861871682657,7916.5680456584305,303.03,78.98995865327818
2023-05-01,14187.57419902226,7917.841218006555,303.36,79.18487891317187
2023-06-01,14205.308666771038,7911.048543698476,304.0,79.56290608387478
2023-07-01,14223.0653026045,7904.556201723212,304.63,79.93502658003541
2023-08-01,14240.844134232757,7874.113824506372,306.19,80.85646780862372
2023-09-01,14258.645189400548,7855.734422094805,307.29,81.50620200826934
2023-10-01,14276.468495887299,7859.41571994186,307.53,81.6479621972829
2023-11-01,14294.314081507157,7856.72155703903,308.02,81.9373892498523
2023-12-01,14312.18197410904,7848.1972151864375,308.74,82.36266981689309
2024-01-01,14330.072201576675,7834.155333657102,309.68,82.91789722386295
2024-02-01,14347.984791828645,7809.39985615364,311.05,83.72711163614883
2024-03-01,14365.919772818432,7789.610919956956,312.23,84.4240992321323
2024-04-01,14383.877172534454,7774.944622809245,313.21,85.00295333727108
2024-05-01,14401.857019000121,7784.166246262237,313.23,85.01476668635557
2024-06-01,14419.85934027387,7798.377851168714,313.05,84.90844654459539
2024-07-01,14437.884164449213,7796.171942210481,313.53,85.19196692262254
2024-08-01,14455.931519654774,7791.255591103889,314.12,85.54046072061428
2024-09-01,14474.001434054342,7786.864669310752,314.69,85.87714116952154
2024-10-01,14492.09393584691,7777.814244218996,315.45,86.32604843473122
