Date,BND,SPY,VTIP,VXUS
2015-04-13,63.242393493652344,175.9228057861328,37.98813247680664,38.67575454711914
2015-04-14,63.356327056884766,176.2593231201172,38.003761291503906,38.972625732421875
2015-04-15,63.417091369628906,177.0502166748047,38.06630325317383,39.20271682739258
2015-04-16,63.40188980102539,176.99969482421875,38.097572326660156,39.351139068603516
2015-04-17,63.508235931396484,174.96360778808594,38.17576217651367,38.82418441772461
2015-04-20,63.43986511230469,176.56222534179688,38.16793441772461,38.84645462036133
2015-04-21,63.3638916015625,176.35189819335938,38.08194351196289,39.13591003417969
2015-04-22,63.128414154052734,177.21852111816406,38.08975601196289,39.24724197387695
2015-04-23,63.24997329711914,177.66445922851562,38.12102127075195,39.447635650634766
2015-04-24,63.34871292114258,178.0767364501953,38.17576217651367,39.61833572387695
2015-04-27,63.30308532714844,177.3362579345703,38.17576217651367,39.82615280151367
2015-04-28,63.10563278198242,177.90003967285156,38.13666915893555,39.87068176269531
2015-04-29,62.908180236816406,177.16802978515625,38.097572326660156,39.56639099121094
