Name,Ticker,Industry,Weight
Hormel Foods Corporation,HRL,Consumer Staples,0.02%
Albemarle Corporation,ALB,Materials,0.02%
Norwegian Cruise Line Holdings Ltd.s,NCLH,Consumer Discretionary,0.02%
The Mosaic Company,MOS,Materials,0.02%
Henry Schein Inc,HSIC,Health Care,0.02%
Marketaxess Holdings Inc.,MKTX,Financials,0.02%
"Charles River Laboratories International, Inc.",CRL,Health Care,0.02%
"Hasbro, Inc.",HAS,Consumer Discretionary,0.02%
"Enphase Energy, Inc.",ENPH,Energy,0.02%
"Walgreens Boots Alliance, Inc",WBA,Health Care,0.02%
"Match Group, Inc",MTCH,Communication Services,0.02%
"Huntington Ingalls Industries, Inc.",HII,Industrials,0.02%
A.O. Smith Corporation,AOS,Industrials,0.02%
Apa Corporation,APA,Energy,0.02%
Generac Holdings Inc,GNRC,Industrials,0.02%
The Campbell's Company,CPB,Consumer Staples,0.02%
Wynn Resorts Ltd,WYNN,Consumer Discretionary,0.02%
"Lamb Weston Holdings, Inc.",LW,Consumer Staples,0.02%
Federal Realty Investment Trust,FRT,Real Estate,0.02%
Mgm Resorts International,MGM,Consumer Discretionary,0.01%
Invesco Ltd,IVZ,Financials,0.01%
Paramount Global Class B,PARA,Communication Services,0.01%
Fox Corporation Class B,FOX,Communication Services,0.01%
Davita Inc.,DVA,Health Care,0.01%
Brown-Forman Corporation Class B,BF.B,Consumer Staples,0.01%
"Mohawk Industries, Inc.",MHK,Consumer Discretionary,0.01%
"Franklin Resources, Inc.",BEN,Financials,0.01%
"Caesars Entertainment, Inc.",CZR,Consumer Discretionary,0.01%
News Corporation Class B,NWS,Communication Services,0.01%
