Name,Ticker,Weight,Sector,Shares Held
WILLIS TOWERS WATSON PLC,WTW,0.068537,Unknown,1272641.0
GARMIN LTD,GRMN,0.068338,Unknown,1940958.0
COSTAR GROUP INC,CSGP,0.067767,Unknown,5322622.0
IQVIA HOLDINGS INC,IQV,0.066706,Unknown,2178539.0
DUPONT DE NEMOURS INC,DD,0.066657,Materials,5272472.0
OCCIDENTAL PETROLEUM CORP,OXY,0.065426,Energy,8529575.0
EBAY INC,EBAY,0.06534,Unknown,6053174.0
OLD DOMINION FREIGHT LINE,ODFL,0.065307,Utilities,2374288.0
CARDINAL HEALTH INC,CAH,0.065165,Unknown,3057917.0
NUCOR CORP,NUE,0.064878,Materials,2967129.0
HUMANA INC,HUM,0.06465,Unknown,1521754.0
WABTEC CORP,WAB,0.064607,Unknown,2172005.0
EXTRA SPACE STORAGE INC,EXR,0.064603,Unknown,2679098.0
NASDAQ INC,NDAQ,0.063477,Unknown,5228960.0
VULCAN MATERIALS CO,VMC,0.063392,Unknown,1669119.0
AVALONBAY COMMUNITIES INC,AVB,0.062953,Unknown,1794539.0
XYLEM INC,XYL,0.062694,Unknown,3070088.0
EQUIFAX INC,EFX,0.062623,Unknown,1567435.0
CENTENE CORP,CNC,0.062406,Unknown,6379809.0
EQT CORP,EQT,0.062053,Unknown,7525169.0
ROCKWELL AUTOMATION INC,ROK,0.06145,Unknown,1426263.0
MARTIN MARIETTA MATERIALS,MLM,0.060622,Unknown,772382.0
DELL TECHNOLOGIES  C,DELL,0.060566,Unknown,3881810.0
CONSTELLATION BRANDS INC A,STZ,0.060464,Unknown,1972953.0
M + T BANK CORP,MTB,0.060332,Unknown,2097054.0
DELTA AIR LINES INC,DAL,0.060051,Unknown,8101490.0
BROWN + BROWN INC,BRO,0.05967,Unknown,2999841.0
MONOLITHIC POWER SYSTEMS INC,MPWR,0.059455,Unknown,616742.0
MICROCHIP TECHNOLOGY INC,MCHP,0.059429,Unknown,6786179.0
VENTAS INC,VTR,0.059373,Unknown,5301431.0
AMERICAN WATER WORKS CO INC,AWK,0.059254,Unknown,2463161.0
LENNAR CORP A,LEN,0.059239,Unknown,3017341.0
ANSYS INC,ANSS,0.059205,Unknown,1104703.0
TRACTOR SUPPLY COMPANY,TSCO,0.058852,Unknown,6750226.0
DTE ENERGY COMPANY,DTE,0.05862,Unknown,2617268.0
DIAMONDBACK ENERGY INC,FANG,0.058109,Unknown,2361524.0
HP INC,HPQ,0.05736,Unknown,12177627.0
CHURCH + DWIGHT CO INC,CHD,0.05723,Unknown,3089504.0
DEXCOM INC,DXCM,0.057047,Unknown,4936032.0
KRAFT HEINZ CO/THE,KHC,0.056832,Unknown,11154210.0
INTERNATIONAL PAPER CO,IP,0.056398,Unknown,6633073.0
BROADRIDGE FINANCIAL SOLUTIO,BR,0.056292,Unknown,1478672.0
AMEREN CORPORATION,AEE,0.055766,Unknown,3373115.0
PPG INDUSTRIES INC,PPG,0.05509,Unknown,2931268.0
KEYSIGHT TECHNOLOGIES IN,KEYS,0.054833,Unknown,2192908.0
RAYMOND JAMES FINANCIAL INC,RJF,0.054564,Unknown,2312458.0
HERSHEY CO/THE,HSY,0.054178,Unknown,1867055.0
DOW INC,DOW,0.054093,Materials,8846742.0
METTLER TOLEDO INTERNATIONAL,MTD,0.054031,Unknown,266349.0
PPL CORP,PPL,0.053747,Unknown,9325454.0
FIFTH THIRD BANCORP,FITB,0.053596,Unknown,8473099.0
IRON MOUNTAIN INC,IRM,0.053255,Unknown,3708011.0
FORTIVE CORP,FTV,0.05314,Unknown,4384183.0
STATE STREET CORP,STT,0.052805,Unknown,3704096.0
DOVER CORP,DOV,0.051823,Unknown,1733941.0
GODADDY INC   CLASS A,GDDY,0.051637,Unknown,1774437.0
VERALTO CORP,VLTO,0.050483,Unknown,3124681.0
TYLER TECHNOLOGIES INC,TYL,0.050462,Unknown,540289.0
TEXAS PACIFIC LAND CORP,TPL,0.050396,Unknown,237965.0
GLOBAL PAYMENTS INC,GPN,0.0499,Unknown,3216256.0
EQUITY RESIDENTIAL,EQR,0.049607,Unknown,4304875.0
SBA COMMUNICATIONS CORP,SBAC,0.049071,Unknown,1355134.0
UNITED AIRLINES HOLDINGS INC,UAL,0.049022,Unknown,4155472.0
CORPAY INC,CPAY,0.048757,Unknown,879666.0
ATMOS ENERGY CORP,ATO,0.048669,Unknown,1961367.0
ARCHER DANIELS MIDLAND CO,ADM,0.04818,Unknown,6041947.0
CENTERPOINT ENERGY INC,CNP,0.048102,Unknown,8235223.0
CBOE GLOBAL MARKETS INC,CBOE,0.047924,Unknown,1319965.0
TELEDYNE TECHNOLOGIES INC,TDY,0.047771,Unknown,588478.0
CINCINNATI FINANCIAL CORP,CINF,0.047218,Unknown,1970409.0
KELLANOVA,K,0.047198,Unknown,3398051.0
WARNER BROS DISCOVERY INC,WBD,0.047084,Unknown,28209115.0
DEVON ENERGY CORP,DVN,0.047,Unknown,8300693.0
EVERSOURCE ENERGY,ES,0.046972,Unknown,4630227.0
STERIS PLC,STE,0.046889,Unknown,1248967.0
NVR INC,NVR,0.046615,Unknown,38735.0
CDW CORP/DE,CDW,0.046458,Unknown,1683648.0
WATERS CORP,WAT,0.046155,Unknown,750411.0
EDISON INTERNATIONAL,EIX,0.046096,Unknown,4892265.0
SMURFIT WESTROCK PLC,SW,0.045808,Unknown,6249722.0
CMS ENERGY CORP,CMS,0.045805,Unknown,3775859.0
ZIMMER BIOMET HOLDINGS INC,ZBH,0.045669,Unknown,2515571.0
HALLIBURTON CO,HAL,0.045601,Unknown,11100921.0
DARDEN RESTAURANTS INC,DRI,0.045386,Unknown,1484720.0
WEYERHAEUSER CO,WY,0.044858,Unknown,9181203.0
HUNTINGTON BANCSHARES INC,HBAN,0.044245,Unknown,18358754.0
PULTEGROUP INC,PHM,0.04422,Unknown,2591886.0
BIOGEN INC,BIIB,0.043507,Unknown,1841627.0
MCCORMICK + CO NON VTG SHRS,MKC,0.043286,Unknown,3177009.0
INTL FLAVORS + FRAGRANCES,IFF,0.043165,Unknown,3230576.0
SYNCHRONY FINANCIAL,SYF,0.043095,Unknown,4920013.0
T ROWE PRICE GROUP INC,TROW,0.043011,Unknown,2807670.0
FIRSTENERGY CORP,FE,0.042701,Unknown,6464336.0
CARNIVAL CORP,CCL,0.042356,Unknown,13126284.0
