Price,Close,High,Low,Open,Volume
Ticker,VUG,VUG,VUG,VUG,VUG
Date,,,,,
21/9/20,214.2321319580078,214.2321319580078,208.8374597703713,210.88841231894816,1492200
22/9/20,217.75082397460938,218.1687833428296,213.56144132210795,215.79706415711766,844600
23/9/20,211.6951904296875,217.93554125866157,211.21891245929228,217.8869375308033,754500
24/9/20,212.28810119628906,214.82506131156867,209.71226700128875,210.22743384028882,978100
25/9/20,216.8611602783203,217.49414078494416,211.4272132749919,212.45946572426524,959900
28/9/20,220.6980743408203,220.90256937133373,219.07178756458558,220.43513729933395,822100
29/9/20,220.2403564453125,221.47710400687785,219.96768652155035,220.66884199962342,900700
30/9/20,221.65237426757812,224.03824324991626,220.3571848521615,220.62985474389188,789600
1/10/20,224.6030731201172,224.99259730767108,223.22024293708708,224.44725750133753,681100
2/10/20,220.37669372558594,223.1423543,219.30547982853932,220.19166451978728,859800
5/10/20,224.5543670654297,224.7393962455696,221.74976037195484,221.74976037195484,626100
6/10/20,220.80516052246094,225.5379522173976,220.16243223884595,224.39856350580953,655900
7/10/20,224.5251922607422,225.13870704620595,222.82099773169583,222.91838621997158,725200
8/10/20,225.8788299560547,226.51182546968104,225.10951432125157,226.36574272373724,543800
9/10/20,229.2677001953125,229.2677001953125,226.9110446,227.01816596351682,981700
12/10/20,234.40951538085938,236.2305640990606,231.3419564969836,232.3644761249422,769800
13/10/20,234.11737060546875,235.8215650745783,233.33830730485366,235.05223467868964,807600
14/10/20,232.21841430664062,235.39307980069213,230.9524383,234.72113788884215,1209400
15/10/20,231.1374969482422,231.6341426222937,228.15757832573777,228.70293310787474,948300
16/10/20,230.12469482421875,233.72784609738338,230.06626767342433,232.40344286158586,609500
19/10/20,226.6481475830078,232.41319264194877,226.02489987013305,231.6341292860059,666900
20/10/20,227.4953155517578,229.92014575557172,226.4825438374376,227.4855826487122,945900
21/10/20,227.21298217773438,229.7254389952434,226.9013508723512,227.63172002751972,592000
22/10/20,227.0376434326172,228.22571155845785,224.4083179371682,227.5440367795482,515200
23/10/20,228.14779663085938,228.14779663085938,225.97617031028068,227.78748601454413,552800
26/10/20,224.27200317382812,227.87515435195832,221.49659470911598,226.06383842811815,796200
27/10/20,225.5963897705078,226.2001567475508,224.17459818593392,225.05104993841786,648000
28/10/20,216.8319549560547,221.83741663664327,216.63719285886904,221.83741663664327,1129000
29/10/20,219.6073455810547,222.04190891450372,217.17278224760565,218.01027262868794,859100
30/10/20,214.99147033691406,218.9744132609469,212.56663937363854,218.23431119404208,1068600
2/11/20,215.74127197265625,218.4679860568864,213.53069901962283,216.75405870707706,810000
3/11/20,219.64633178710938,221.22392425081512,216.72485545615973,217.52338459306617,894200
4/11/20,228.57627868652344,230.39732726706933,224.8465259541098,225.61584141334833,1147500
5/11/20,233.8154754638672,234.64321810629755,232.1989217959738,233.43568416689422,1096800
6/11/20,234.36080932617188,235.02300342326708,230.71869721396192,233.28959551099382,807200
9/11/20,230.7576904296875,241.2944743,230.67978260878414,241.2944743,1539300
10/11/20,227.24217224121094,229.92992510473127,224.89524936586264,228.86845894197765,1312100
11/11/20,231.51727294921875,231.95549143952454,228.95610720410653,229.34563144895668,700200
12/11/20,230.16363525390625,232.76374724381913,229.18980987074508,231.7704411923638,579500
13/11/20,231.9554443359375,232.45208987617642,229.62800252601144,231.38089099066997,685800
