Name,Ticker,Weight,Industry,Shares Held
GLOBE LIFE INC,GL,0.0002183,Unknown,1060417
EPAM SYSTEMS INC,EPAM,0.0002178,Unknown,716405
HOST HOTELS + RESORTS INC,HST,0.0002165,Unknown,8833231
SOLVENTUM CORP,SOLV,0.0002135,Unknown,1749485
NEWS CORP   CLASS A,NWSA,0.0002126,Unknown,4792277
PAYCOM SOFTWARE INC,PAYC,0.0002093,Unknown,611478
INTERPUBLIC GROUP OF COS INC,IPG,0.0002073,Unknown,4707182
UNIVERSAL HEALTH SERVICES B,UHS,0.0002055,Unknown,742352
BIO TECHNE CORP,TECH,0.0002017,Unknown,1996272
BXP INC,BXP,0.0001987,Unknown,1840763
AES CORP,AES,0.0001866,Unknown,9004276
RALPH LAUREN CORP,RL,0.0001858,Unknown,507988
HENRY SCHEIN INC,HSIC,0.0001856,Unknown,1575242
HORMEL FOODS CORP,HRL,0.0001832,Unknown,3680592
